Relevance;Url;Title;3/11/2015;3/12/2015;3/23/2015;3/24/2015;3/25/2015;3/28/2015;3/30/2015;4/5/2015;4/8/2015;4/10/2015;;
1;http://sf.eater.com/2015/3/24/8285033/local-chinese-restaurant-calls-out-dishonest-yelper-with-surveillance;Local Chinese Restaurant Calls Out Dishonest ... - San ...;0;0;0;0;0;0;28;0;0;0;;
1;http://wivb.com/2015/03/09/diners-dash-to-local-restaurants-for-week-of-deals/;Diners dash to local restaurants for week of deals ... - Buffalo;0;0;0;0;0;0;26;0;0;0;;
4;http://www.tripadvisor.com/Restaurants-g35179-Peachtree_City_Georgia.html;Restaurants in Peachtree City - TripAdvisor;0;0;0;0;0;0;0;49;0;0;;
4;http://www.peachtree-city.org/index.asp?NID=214;Peachtree City, GA - Official Website - Dining in Peachtree City;0;0;0;0;0;0;0;48;0;0;;
3;http://www.urbanspoon.com/n/9/40952/Atlanta/Peachtree-City-GA-restaurants;Best Peachtree City Restaurants - Atlanta - Urbanspoon;0;0;0;0;0;0;0;47;0;0;;
4;http://visitpeachtreecity.com/where-to-eat/;Where to Eat - Peachtree City - Peachtree City;0;0;0;0;0;0;0;46;0;0;;
1;http://www.localrestaurantweek.com/restaurant_profile9d19.html?id=918833&city=&time=&token=23856730758;YOLO Restaurant + Lounge - Buffalo - Local Restaurant Week;0;0;0;0;0;0;0;33;0;0;;
1;http://localrestaurantweek.com/restaurant_profilebde9.html;Restaurants | Local Restaurant Week 2015 - www ... - Buffalo;0;0;0;0;0;0;0;32;0;0;;
1;http://local.amazon.com/restaurants;Seattle Restaurants Delivery and Takeout - Amazon Local;0;0;0;0;0;0;0;31;0;0;;
1;http://www.visitdallas.com/things-to-do/restaurants/;Dallas Restaurants | Dining Guide to Dallas, Texas;0;0;0;0;0;0;0;29;24;0;0;
1;http://www.durham-nc.com/restaurants/local-favorites/;Local Favorites - Durham - Durham;0;0;0;0;0;0;0;20;26;0;24;
1;http://www.cerritoscenter.com/restaurantsandshopping.aspx;Local Restaurant & Shopping Information - Cerritos Center ...;0;0;0;0;0;0;0;14;5;0;0;
1;http://www.visithoustontexas.com/restaurants/15-iconic-houston-meals/;Iconic Meals at Local Houston Restaurants | Houston, Texas;0;0;0;0;0;0;0;2;4;0;0;
4;http://www.urbanspoon.com/lb/9/best-restaurants-Atlanta;Best Atlanta Restaurants - Urbanspoon;0;0;0;0;0;0;0;0;0;45;46;
1;http://localrestaurantweek.com/restaurant_profileaf40.html;Tappo Restaurant - Buffalo - Local Restaurant Week;0;0;0;0;0;0;0;0;0;32;0;
1;http://www.visitsaltlake.com/restaurants/;Salt Lake Restaurants | Dining Guide & Reviews;0;0;0;0;0;0;0;0;0;28;0;
1;http://www.discoverkalamazoo.com/eat-129/;Dining, Restaurants, Food and Nightlife, Kalamazoo ...;0;0;0;0;0;0;0;0;0;25;27;
1;http://www.visitvirginiabeach.com/visitors/dining/;Restaurants in Virginia Beach | Official Virginia Beach ...;0;0;0;0;0;0;0;0;0;23;31;30
1;http://www.visitannarbor.org/dining;Ann Arbor Area CVB | Ann Arbor Restaurants and Dining;0;0;0;0;0;0;0;0;0;22;21;20
3;http://www.chick-fil-a.com/Locations/Locator;Restaurant Locations - Map and Locator | Chick-fil-A;0;0;0;0;0;0;0;0;0;21;25;
1;http://www.travelchannel.com/destinations/us/fl/orlando/articles/orlandos-best-local-restaurants;Orlando's Best Local Restaurants - Orlando - TravelChannel ...;0;0;0;0;0;0;0;0;0;18;38;
1;http://www.localrestaurantweek.com/restaurant_profile82c4.html?id=319675&city=&time=&token=13519888932;Shango Bistro and Wine Bar - Buffalo - Local Restaurant Week;0;0;0;0;0;0;0;0;0;0;33;
1;http://localrestaurantweek.com/restaurant_profile82f9.html;E.B. Green's Steakhouse - Buffalo - Local Restaurant Week;0;0;0;0;0;0;0;0;0;0;29;
1;http://www.denver.org/restaurants/denver-dining/must-try-restaurants/;16 Must Try Denver Restaurants;0;0;0;0;0;0;0;0;0;0;17;
1;http://www.visitrenotahoe.com/reno-tahoe/what-to-do/dining;Find a Restaurant in Reno Tahoe;0;0;0;0;0;0;0;0;0;0;16;
1;http://www.unitehere2.org/local-2-restaurant-guide/;Local 2 Restaurants & Bars Guide | UNITE HERE ... - San ...;0;0;0;0;0;0;0;0;0;0;15;
1;http://www.opentable.com/boston-restaurants;999 Boston Restaurants & Dining in Boston | OpenTable;0;0;0;0;0;0;0;0;0;0;6;
1;http://www.visitrichmondva.com/things-to-do/restaurants/;Richmond Restaurants, Nightlife and Wineries | Richmond ...;0;0;0;0;0;0;0;0;0;0;4;
