Relevance;Url;Title;02/21/2015;02/22/2015;02/24/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015
3;http://www.wcpo.com/weather;Weather - Cincinnati - WCPO.com;0;30;29;30;30;29;33;33;30;0;0;28;26;32;0;29;26;26;26;27;29;30;17;18;17;20;23;25;28
3;http://www.wbir.com/weather/;WBIR.com | Knoxville, TN | Weather;0;22;27;28;26;31;0;0;0;0;0;0;0;26;28;28;25;25;25;0;28;0;0;0;0;0;0;0;24
3;http://www.weatherfrom.com/;Weather From - Weather you need it or not;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;http://www.accuweather.com/en/us/atlanta-ga/30303/daily-weather-forecast/348181;Weather in Atlanta - AccuWeather Forecast for GA 30303;0;0;43;0;43;43;0;0;43;43;43;0;0;43;43;43;43;0;0;43;43;44;0;0;0;0;43;44;47
5;http://www.11alive.com/weather/;Weather | Atlanta News, Weather, Traffic, Sports and ...;0;0;39;0;39;39;0;0;26;0;39;0;0;0;0;0;35;0;0;35;0;0;0;0;0;0;0;0;0
1;http://www.newschannel10.com/weather;Weather - KFDA - NewsChannel 10 / Amarillo News ...;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;0;0;0;0;3
2;http://www.myfoxdetroit.com/weather;Weather - Fox 2 News Headlines;0;0;6;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.learner.org/exhibits/weather/;Exhibits Collection -- Weather;0;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;6;5;0;8;9;0;6;8
2;http://www.newson6.com/weather;Oklahoma weather forecast, current conditions ... - Tulsa;0;0;0;1;0;17;25;25;24;17;27;19;19;16;16;0;8;9;8;10;0;19;0;21;20;16;12;3;31
2;http://www.kcra.com/weather;Weather - Sacramento - KCRA.com;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.nbc12.com/weather;Weather - Richmond - NBC12.com;0;0;0;0;2;0;13;13;14;13;22;20;15;15;18;17;12;10;10;12;7;1;0;8;1;0;10;7;10
2;http://www.ky3.com/weather;Local Weather for Springfield, Missouri, Branson and the ...;0;0;0;0;0;5;16;18;13;15;15;3;10;7;12;0;9;6;5;7;0;7;0;10;5;1;7;22;20
2;http://wreg.com/weather/;Weather | WREG.com - Memphis;0;0;0;0;0;3;9;6;7;12;17;4;3;5;6;10;4;3;4;6;11;0;0;0;0;0;0;0;0
3;http://www.boston.com/weather;Boston, MA weather | Boston.com - Boston.com;0;0;0;0;0;0;31;31;31;30;31;30;30;28;31;32;29;28;27;30;0;0;6;16;11;11;8;11;5
2;http://www.whas11.com/weather/;WHAS11.com | Louisville Weather, Forecast, Conditions ...;0;0;0;0;0;0;27;28;0;32;0;33;23;25;27;27;24;24;23;25;25;11;0;0;0;0;0;0;0
2;http://www.wrcbtv.com/weather;Chattanooga Weather - WRCBtv.com | Chattanooga News ...;0;0;0;0;0;0;21;20;0;19;19;21;0;18;0;0;0;0;0;0;0;0;10;0;16;19;15;19;0
4;http://myfox8.com/weather/;Weather - MyFOX8.com;0;0;0;0;0;0;15;12;11;8;10;17;4;6;24;0;18;17;17;19;17;12;8;0;12;14;14;18;15
2;http://www.wcnc.com/weather;WCNC.com | Charlotte Weather | North Carolina Weather ...;0;0;0;0;0;0;6;0;4;0;0;14;6;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0
1;http://www.kmbc.com/weather;Weather - Kansas City - KMBC.com;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
2;http://www.koco.com/weather;Weather | Oklahoma City - OKC - KOCO.com;0;0;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;3;4;11;6;10;0;12;27
3;http://www.wsmv.com/weather;Weather - Nashville - WSMV Channel 4;0;0;0;0;0;0;0;2;1;3;12;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ksdk.com/weather/;St. Louis Weather - KSDK.com;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.accuweather.com/;Local Weather from AccuWeather.com - Superior Accuracyâ¢;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;41;41;0;0;43;0;0;0;0;0;43;46
3;https://play.google.com/store/apps/details?id=com.macropinch.swan;Weather - Android Apps on Google Play;0;0;0;0;0;0;0;0;0;26;26;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.nbcnewyork.com/weather/;Weather - NBC New York;0;0;0;0;0;0;0;0;0;2;14;18;0;4;3;0;1;2;2;3;0;0;0;0;0;0;0;0;0
4;http://weather.cnn.com/weather/forecast.jsp;CNN Weather - CNN.com;0;0;0;0;0;0;0;0;0;0;0;38;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.king5.com/weather;KING5.com | Seattle Weather, Doppler Radar, Forecast ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;21;0;0;0;0;20;24;14;25;25;23;25;27;0
1;http://www.keloland.com/weather/;KELOLAND.com | Live Doppler HD, Weather for ... - Sioux ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;2;3;7;2;8;0
2;http://www.kare11.com/weather/;Weather | Minneapolis and St. Paul | kare11.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
5;http://weather.org/;Weather.Org | World Weather Forecast and Climate History;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0
5;http://www.wunderground.com/weather-forecast/US/GA/Alpharetta.html;Alpharetta, Georgia - Weather Underground;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;0;0;0;0;0;0;0;0;0;0
4;http://www.accuweather.com/en/us/national/weather-radar;United States Doppler Weather Radar Map - AccuWeather ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0
2;http://scied.ucar.edu/webweather;Web Weather - UCAR Center for Science Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
2;http://www.kptv.com/weather;Oregon Weather and Portland Weather from KPTV - KPTV ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;4;0;0
1;http://www.9news.com/weather/;Weather Network | Denver | Colorado's Online ... - 9News;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0
1;http://www.kcrg.com/weather;KCRG-TV9 | Cedar Rapids, Iowa News, Sports, and Weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;15;9;17;17;9;4
1;http://fivethirtyeight.com/features/which-city-has-the-most-unpredictable-weather/;Which City Has The Most Unpredictable Weather ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;26;31;33;14;41
1;https://scied.ucar.edu/webweather;Web Weather for Kids - UCAR Center for Science Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
1;https://play.google.com/store/apps/details?id=com.devexpert.weather&hl=en;Weather & Clock Widget Android - Google Play;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0
1;http://www.pri.org/stories/2015-03-22/welcome-double-el-ni-o-and-more-extreme-weather;Welcome to the 'Double El Niño' — and more extreme weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3;http://fox2now.com/weather/;Weather | FOX2now.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6
1;http://5newsonline.com/weather/;Weather | 5NEWSOnline.com - Fort Smith;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16
3;http://ngm.nationalgeographic.com/2012/09/extreme-weather/miller-text;Extreme Weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
3;http://www.scientificamerican.com/article/extreme-weather-caused-by-climate-change/;Storm Warnings: Extreme Weather Is a Product of ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
